GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Nisum Technical Exercise,com.nisum.technical.exercise.domain.services.impl,CustomUserDetailsService,0,26,0,0,0,6,0,4,0,4
Nisum Technical Exercise,com.nisum.technical.exercise.domain.services.impl,UserServiceImpl,0,103,0,2,0,31,0,7,0,6
Nisum Technical Exercise,com.nisum.technical.exercise.domain.services.impl,AccountServiceImpl,0,152,0,2,0,27,0,7,0,6
Nisum Technical Exercise,com.nisum.technical.exercise.infrastructure.config,SecurityConfig,0,100,0,0,0,19,0,8,0,8
Nisum Technical Exercise,com.nisum.technical.exercise.infrastructure.config,OpenApiConfig,0,53,0,0,0,16,0,2,0,2
Nisum Technical Exercise,com.nisum.technical.exercise.application.util,TraceIdFilter,0,51,1,3,0,11,1,4,0,3
Nisum Technical Exercise,com.nisum.technical.exercise.application.util,JwtUtil,67,41,14,0,15,10,12,3,5,3
Nisum Technical Exercise,com.nisum.technical.exercise.presentation,UserController,0,32,0,0,0,8,0,4,0,4
Nisum Technical Exercise,com.nisum.technical.exercise.presentation,AccountController,0,26,0,0,0,6,0,4,0,4
Nisum Technical Exercise,com.nisum.technical.exercise,NisumTechnicalExerciseApplication,5,3,0,0,2,1,1,1,1,1
Nisum Technical Exercise,com.nisum.technical.exercise.infrastructure.security.handlers,ForbiddenHandler,0,30,0,0,0,10,0,2,0,2
Nisum Technical Exercise,com.nisum.technical.exercise.infrastructure.security.handlers,UnauthorizedHandler,0,30,0,0,0,10,0,2,0,2
Nisum Technical Exercise,com.nisum.technical.exercise.application.mapper,UserMapperImpl,10,161,5,7,5,48,5,7,0,6
Nisum Technical Exercise,com.nisum.technical.exercise.application.mapper,UserMapper,0,30,0,0,0,9,0,2,0,2
Nisum Technical Exercise,com.nisum.technical.exercise.infrastructure.security,JwtAuthenticationFilter,12,97,4,6,4,24,4,4,0,3
Nisum Technical Exercise,com.nisum.technical.exercise.domain.exception,ApiErrorResponse,0,19,0,0,0,4,0,4,0,4
Nisum Technical Exercise,com.nisum.technical.exercise.domain.exception,ApiErrorResponse.ApiErrorResponseBuilder,4,14,0,0,0,1,1,3,1,3
Nisum Technical Exercise,com.nisum.technical.exercise.domain.exception,SimpleException,0,50,0,0,0,16,0,8,0,8
Nisum Technical Exercise,com.nisum.technical.exercise.domain.exception,RestExceptionHandler,2,99,1,4,1,24,1,13,0,10
